date,hosp_patients_per_million,year
1/3/2020,,2020
1/4/2020,,2020
1/5/2020,,2020
1/6/2020,,2020
1/7/2020,,2020
1/8/2020,,2020
1/9/2020,,2020
1/10/2020,,2020
1/11/2020,,2020
1/12/2020,,2020
1/13/2020,,2020
1/14/2020,,2020
1/15/2020,,2020
1/16/2020,,2020
1/17/2020,,2020
1/18/2020,,2020
1/19/2020,,2020
1/20/2020,,2020
1/21/2020,,2020
1/22/2020,,2020
1/23/2020,,2020
1/24/2020,,2020
1/25/2020,,2020
1/26/2020,,2020
1/27/2020,,2020
1/28/2020,,2020
1/29/2020,,2020
1/30/2020,,2020
1/31/2020,,2020
2/1/2020,,2020
2/2/2020,,2020
2/3/2020,,2020
2/4/2020,,2020
2/5/2020,,2020
2/6/2020,,2020
2/7/2020,,2020
2/8/2020,,2020
2/9/2020,,2020
2/10/2020,,2020
2/11/2020,,2020
2/12/2020,,2020
2/13/2020,,2020
2/14/2020,,2020
2/15/2020,,2020
2/16/2020,,2020
2/17/2020,,2020
2/18/2020,,2020
2/19/2020,,2020
2/20/2020,,2020
2/21/2020,,2020
2/22/2020,,2020
2/23/2020,,2020
2/24/2020,,2020
2/25/2020,,2020
2/26/2020,,2020
2/27/2020,,2020
2/28/2020,,2020
2/29/2020,,2020
3/1/2020,,2020
3/2/2020,,2020
3/3/2020,,2020
3/4/2020,,2020
3/5/2020,,2020
3/6/2020,,2020
3/7/2020,,2020
3/8/2020,,2020
3/9/2020,,2020
3/10/2020,,2020
3/11/2020,,2020
3/12/2020,,2020
3/13/2020,,2020
3/14/2020,,2020
3/15/2020,,2020
3/16/2020,,2020
3/17/2020,,2020
3/18/2020,,2020
3/19/2020,,2020
3/20/2020,,2020
3/21/2020,,2020
3/22/2020,,2020
3/23/2020,,2020
3/24/2020,,2020
3/25/2020,,2020
3/26/2020,,2020
3/27/2020,,2020
3/28/2020,,2020
3/29/2020,,2020
3/30/2020,,2020
3/31/2020,16.274,2020
4/1/2020,16.847,2020
4/2/2020,15.853,2020
4/3/2020,17.458,2020
4/4/2020,18.718,2020
4/5/2020,17.458,2020
4/6/2020,11.651,2020
4/7/2020,10.047,2020
4/8/2020,10.009,2020
4/9/2020,9.436,2020
4/10/2020,9.168,2020
4/11/2020,9.13,2020
4/12/2020,8.672,2020
4/13/2020,8.786,2020
4/14/2020,8.175,2020
4/15/2020,7.678,2020
4/16/2020,7.335,2020
4/17/2020,7.029,2020
4/18/2020,6.762,2020
4/19/2020,6.494,2020
4/20/2020,6.38,2020
4/21/2020,6.15,2020
4/22/2020,5.807,2020
4/23/2020,5.272,2020
4/24/2020,4.928,2020
4/25/2020,4.393,2020
4/26/2020,4.317,2020
4/27/2020,4.164,2020
4/28/2020,3.553,2020
4/29/2020,3.4,2020
4/30/2020,3.171,2020
5/1/2020,3.018,2020
5/2/2020,2.865,2020
5/3/2020,2.674,2020
5/4/2020,2.521,2020
5/5/2020,2.368,2020
5/6/2020,2.216,2020
5/7/2020,2.139,2020
5/8/2020,1.948,2020
5/9/2020,1.643,2020
5/10/2020,1.872,2020
5/11/2020,1.795,2020
5/12/2020,1.91,2020
5/13/2020,1.948,2020
5/14/2020,1.757,2020
5/15/2020,1.872,2020
5/16/2020,1.91,2020
5/17/2020,1.719,2020
5/18/2020,1.795,2020
5/19/2020,1.643,2020
5/20/2020,1.566,2020
5/21/2020,1.49,2020
5/22/2020,1.337,2020
5/23/2020,1.261,2020
5/24/2020,1.184,2020
5/25/2020,1.146,2020
5/26/2020,1.146,2020
5/27/2020,1.108,2020
5/28/2020,0.879,2020
5/29/2020,0.84,2020
5/30/2020,0.764,2020
5/31/2020,0.764,2020
6/1/2020,0.993,2020
6/2/2020,0.955,2020
6/3/2020,0.84,2020
6/4/2020,0.802,2020
6/5/2020,0.802,2020
6/6/2020,0.688,2020
6/7/2020,0.726,2020
6/8/2020,0.688,2020
6/9/2020,0.764,2020
6/10/2020,0.688,2020
6/11/2020,0.649,2020
6/12/2020,0.611,2020
6/13/2020,0.611,2020
6/14/2020,0.649,2020
6/15/2020,0.649,2020
6/16/2020,0.611,2020
6/17/2020,0.535,2020
6/18/2020,0.573,2020
6/19/2020,0.649,2020
6/20/2020,0.611,2020
6/21/2020,0.688,2020
6/22/2020,0.726,2020
6/23/2020,0.611,2020
6/24/2020,0.611,2020
6/25/2020,0.458,2020
6/26/2020,0.458,2020
6/27/2020,0.42,2020
6/28/2020,0.573,2020
6/29/2020,0.535,2020
6/30/2020,0.688,2020
7/1/2020,0.917,2020
7/2/2020,1.031,2020
7/3/2020,1.108,2020
7/4/2020,1.146,2020
7/5/2020,1.299,2020
7/6/2020,1.49,2020
7/7/2020,1.757,2020
7/8/2020,1.719,2020
7/9/2020,2.063,2020
7/10/2020,2.101,2020
7/11/2020,2.559,2020
7/12/2020,3.514,2020
7/13/2020,3.438,2020
7/14/2020,4.24,2020
7/15/2020,4.355,2020
7/16/2020,4.813,2020
7/17/2020,4.393,2020
7/18/2020,5.157,2020
7/19/2020,5.959,2020
7/20/2020,6.953,2020
7/21/2020,8.175,2020
7/22/2020,8.06,2020
