Entity,Code,Year,"Observation value-Deaths per 1,000 live births-Under-five mortality rate-Both sexes-All wealth quintiles",Population (historical estimates),Continent
Afghanistan,AFG,2015,7.0172264,33753500,Asia
Albania,ALB,2015,0.9577139,2882482,Europe
Algeria,DZA,2015,2.530461,39543148,Africa
Andorra,AND,2015,0.3525385,71766,Europe
Angola,AGO,2015,8.833902,28127724,Africa
Anguilla,AIA,2015,0.4968792,14554,North America
Antigua and Barbuda,ATG,2015,0.7749953,89958,North America
Argentina,ARG,2015,1.1593629,43257064,South America
Armenia,ARM,2015,1.4407902,2878598,Asia
Australia,AUS,2015,0.38723328,23820240,Oceania
Austria,AUT,2015,0.36707451,8642422,Europe
Azerbaijan,AZE,2015,2.6297518,9863485,Asia
Bahamas,BHS,2015,1.3934337,392707,North America
Bahrain,BHR,2015,0.7436842,1362157,Asia
Bangladesh,BGD,2015,3.7971584,157830000,Asia
Barbados,BRB,2015,1.4071988,278095,North America
Belarus,BLR,2015,0.4088526,9700609,Europe
Belgium,BEL,2015,0.4078451,11248306,Europe
Belize,BLZ,2015,1.5317431,359884,North America
Benin,BEN,2015,9.7870605,10932791,Africa
Bhutan,BTN,2015,3.3197647,743284,Asia
Bolivia,BOL,2015,3.1641499,11090090,South America
Bosnia and Herzegovina,BIH,2015,0.6262254,3524328,Europe
Botswana,BWA,2015,4.5372864,2305177,Africa
Brazil,BRA,2015,1.5948158,205188208,South America
British Virgin Islands,VGB,2015,1.2687099,29394,North America
Brunei,BRN,2015,1.0590983,421449,Asia
Bulgaria,BGR,2015,0.8132112,7309255,Europe
Burkina Faso,BFA,2015,10.108928,18718022,Africa
Burundi,BDI,2015,6.7863884,10727153,Africa
Cambodia,KHM,2015,3.1746084,15417527,Asia
Cameroon,CMR,2015,8.812032,23012650,Africa
Canada,CAN,2015,0.53854394,35732120,North America
Cape Verde,CPV,2015,1.973928,552169,Africa
Central African Republic,CAF,2015,11.553486,4819341,Africa
Chad,TCD,2015,12.949101,14140277,Africa
Chile,CHL,2015,0.795923,17870122,South America
China,CHN,2015,1.0713093,1393715456,Asia
Colombia,COL,2015,1.5596246,47119728,South America
Comoros,COM,2015,6.1248936,730221,Africa
Congo,COG,2015,5.2780247,5064390,Africa
Cook Islands,COK,2015,0.8795357,17720,Oceania
Costa Rica,CRI,2015,0.9079917,4895241,North America
Cote d'Ivoire,CIV,2015,9.0468025,23596738,Africa
Croatia,HRV,2015,0.491872,4254821,Europe
Cuba,CUB,2015,0.56514616,11339888,North America
Cyprus,CYP,2015,0.2787213,1187286,Europe
Czechia,CZE,2015,0.31666758,10523801,Europe
Democratic Republic of Congo,COD,2015,9.64925,78656904,Africa
Denmark,DNK,2015,0.40770864,5677795,Europe
Djibouti,DJI,2015,6.56322,1006266,Africa
Dominica,DMA,2015,3.1221222,70027,North America
Dominican Republic,DOM,2015,3.5089016,10405832,North America
East Timor,TLS,2015,6.156693,1205822,Asia
Ecuador,ECU,2015,1.5365337,16195904,South America
Egypt,EGY,2015,2.3422955,97723792,Africa
El Salvador,SLV,2015,1.5406713,6231072,North America
Equatorial Guinea,GNQ,2015,9.373712,1346974,Africa
Eritrea,ERI,2015,4.639294,3340005,Africa
Estonia,EST,2015,0.31139805,1314658,Europe
Eswatini,SWZ,2015,6.442504,1133941,Africa
Ethiopia,ETH,2015,6.2371655,102471896,Africa
Fiji,FJI,2015,2.4483383,917209,Oceania
Finland,FIN,2015,0.24871185,5479457,Europe
France,FRA,2015,0.41596704,63809768,Europe
Gabon,GAB,2015,5.040425,2028524,Africa
Gambia,GMB,2015,6.00933,2253137,Africa
Georgia,GEO,2015,1.0495411,3771135,Asia
Germany,DEU,2015,0.39342804,82073232,Europe
Ghana,GHA,2015,5.537351,28870946,Africa
Greece,GRC,2015,0.43697867,10806644,Europe
Grenada,GRD,2015,1.6192265,118994,North America
Guatemala,GTM,2015,2.8394325,16001105,North America
Guinea,GIN,2015,11.26136,11626003,Africa
Guinea-Bissau,GNB,2015,9.1845,1788931,Africa
Guyana,GUY,2015,3.311173,755043,South America
Haiti,HTI,2015,7.012799,10563762,North America
Honduras,HND,2015,2.0519653,9294510,North America
Hungary,HUN,2015,0.50625477,9844250,Europe
Iceland,ISL,2015,0.26365376,331068,Europe
India,IND,2015,4.356927,1322866560,Asia
Indonesia,IDN,2015,2.7682627,259091968,Asia
Iran,IRN,2015,1.5532366,81790848,Asia
Iraq,IRQ,2015,2.976198,37757812,Asia
Ireland,IRL,2015,0.36988027,4665764,Europe
Israel,ISR,2015,0.39327283,8007777,Asia
Italy,ITA,2015,0.3530894,60232908,Europe
Jamaica,JAM,2015,1.5003088,2794455,North America
Japan,JPN,2015,0.27595935,127250936,Asia
Jordan,JOR,2015,1.7507523,9494250,Asia
