Entity,Code,Year,Deaths,Population,Continent,GDP
Afghanistan,AFG,2015,7.0172264,33753500,Asia,211.5873
Albania,ALB,2015,0.9577139,2882482,Europe,568.9184
Algeria,DZA,2015,2.530461,39543148,Africa,838.5103
Andorra,AND,2015,0.3525385,71766,Europe,3096.173
Angola,AGO,2015,8.833902,28127724,Africa,191.202
Anguilla,AIA,2015,0.4968792,14554,North America,#N/A
Antigua and Barbuda,ATG,2015,0.7749953,89958,North America,998.4859
Argentina,ARG,2015,1.1593629,43257064,South America,2059.3286
Armenia,ARM,2015,1.4407902,2878598,Asia,1008.6956
Australia,AUS,2015,0.38723328,23820240,Oceania,4392.074
Austria,AUT,2015,0.36707451,8642422,Europe,5204.622
Azerbaijan,AZE,2015,2.6297518,9863485,Asia,615.1613
Bahamas,BHS,2015,1.3934337,392707,North America,1747.1534
Bahrain,BHR,2015,0.7436842,1362157,Asia,2272.859
Bangladesh,BGD,2015,3.7971584,157830000,Asia,93.84658
Barbados,BRB,2015,1.4071988,278095,North America,1050.8344
Belarus,BLR,2015,0.4088526,9700609,Europe,1100.0824
Belgium,BEL,2015,0.4078451,11248306,Europe,4834.89
Belize,BLZ,2015,1.5317431,359884,North America,430.13583
Benin,BEN,2015,9.7870605,10932791,Africa,83.93218
Bhutan,BTN,2015,3.3197647,743284,Asia,340.18665
Bolivia,BOL,2015,3.1641499,11090090,South America,467.31436
Bosnia and Herzegovina,BIH,2015,0.6262254,3524328,Europe,1123.0916
Botswana,BWA,2015,4.5372864,2305177,Africa,890.276
Brazil,BRA,2015,1.5948158,205188208,South America,1313.5973
British Virgin Islands,VGB,2015,1.2687099,29394,North America,#N/A
Brunei,BRN,2015,1.0590983,421449,Asia,1492.9257
Bulgaria,BGR,2015,0.8132112,7309255,Europe,1354.8264
Burkina Faso,BFA,2015,10.108928,18718022,Africa,87.93651
Burundi,BDI,2015,6.7863884,10727153,Africa,54.107956
Cambodia,KHM,2015,3.1746084,15417527,Asia,209.90909
Cameroon,CMR,2015,8.812032,23012650,Africa,122.230286
Canada,CAN,2015,0.53854394,35732120,North America,4751.4434
Cape Verde,CPV,2015,1.973928,552169,Africa,288.9325
Central African Republic,CAF,2015,11.553486,4819341,Africa,39.62093
Chad,TCD,2015,12.949101,14140277,Africa,82.33955
Chile,CHL,2015,0.795923,17870122,South America,1884.5907
China,CHN,2015,1.0713093,1393715456,Asia,627.63074
Colombia,COL,2015,1.5596246,47119728,South America,988.0946
Comoros,COM,2015,6.1248936,730221,Africa,124.666
Congo,COG,2015,5.2780247,5064390,Africa,113.98386
Cook Islands,COK,2015,0.8795357,17720,Oceania,#N/A
Costa Rica,CRI,2015,0.9079917,4895241,North America,1297.527
